LSOA,Disabled_Percentage
E01000001,10.3
E01000002,10.6
E01000003,13.6
E01000005,17.2
E01000006,11.3
E01000007,9.3
E01000008,11.9
E01000009,12.6
E01000011,10.2
E01000012,10.7
E01000013,14.7
E01000014,14.8
E01000015,11.8
E01000016,12.3
E01000017,16.2
E01000018,14
E01000019,13.5
E01000020,16.8
E01000021,14.3
E01000022,12.2
E01000024,14.5
E01000025,13.9
E01000027,17.2
E01000028,15.1
E01000029,14.6
E01000030,15
E01000031,12.7
E01000032,14.5
E01000033,17.2
E01000034,20.2
E01000035,14.9
E01000036,12.9
E01000037,12.3
E01000038,13.9
E01000039,13.9
E01000040,12.6
E01000041,12.6
E01000042,15
E01000043,13.3
E01000044,12.5
E01000045,13.9
E01000046,14.6
E01000049,12
E01000050,11.9
E01000051,6.8
E01000052,11.7
E01000053,15.2
E01000054,13.6
E01000055,14.4
E01000056,18.2
E01000057,13.8
E01000058,14.2
E01000059,17
E01000060,14.8
E01000061,17.9
E01000062,13.5
E01000063,14.6
E01000064,16.3
E01000065,18.3
E01000066,11.7
E01000067,12.6
E01000068,13
E01000069,10.1
E01000070,13.1
E01000071,11.1
E01000072,14.8
E01000073,13.8
E01000074,14.4
E01000075,13.9
E01000076,16.4
E01000077,14.3
E01000078,15.8
E01000079,14.6
E01000080,15.8
E01000081,12.9
E01000082,14.9
E01000083,17.5
E01000084,15.1
E01000085,14.3
E01000086,15.6
E01000087,12.2
E01000088,14.8
E01000089,9.4
E01000090,10.8
E01000091,15.5
E01000093,15.3
E01000094,8.8
E01000095,12
E01000096,13.9
E01000097,15
E01000098,16.4
E01000099,11.9
E01000100,15.8
E01000101,15.4
E01000102,14.8
E01000103,12.2
E01000104,13.9
E01000105,16.2
E01000106,13.5
E01000107,15.8
E01000108,11.5
E01000110,10.7
E01000111,13.4
E01000112,10.9
E01000113,10.7
E01000114,9.6
E01000115,13.5
E01000116,13
E01000117,14.4
E01000118,11.2
E01000119,13
E01000120,12.6
E01000121,22.6
E01000122,13.6
E01000123,10.8
E01000124,12.9
E01000126,12.8
E01000127,13.2
E01000128,12.3
E01000129,13.1
E01000130,14.7
E01000131,11.1
E01000132,12.6
E01000133,15.5
E01000134,12
E01000135,16
E01000136,11.7
E01000137,14.4
E01000138,13.3
E01000139,10.5
E01000140,12.5
E01000141,12.6
E01000142,14.2
E01000143,14.5
E01000144,12.3
E01000145,12.6
E01000146,13.7
E01000147,8.9
E01000150,10.7
E01000151,17.1
E01000152,8.4
E01000153,15.4
E01000154,12.3
E01000156,10.2
E01000157,11.2
E01000158,14.8
E01000159,13
E01000160,9.4
E01000161,15
E01000162,19.4
E01000163,17.2
E01000164,14.2
E01000165,13.3
E01000166,14.1
E01000167,18
E01000168,13.4
E01000169,13.6
E01000170,14.7
E01000171,13.4
E01000172,13.3
E01000173,12.8
E01000174,16
E01000175,9.8
E01000176,19.9
E01000177,11.1
E01000178,12.4
E01000179,9.9
E01000180,15.2
E01000181,11.7
E01000182,14.1
E01000183,17.1
E01000184,16.6
E01000185,18.6
E01000186,9.5
E01000187,12.2
E01000188,12.7
E01000189,11.2
E01000190,13.1
E01000191,13.4
E01000192,12.3
E01000193,13.3
E01000194,10.7
E01000195,14.9
E01000196,15.1
E01000197,11.5
E01000198,9.8
E01000199,13.5
E01000200,13.3
E01000201,8.6
E01000202,12
E01000203,13.2
E01000204,12.8
E01000205,9
E01000206,7.4
E01000207,12.1
E01000208,10.1
E01000209,14
E01000210,9.5
E01000211,14.7
E01000212,11.2
E01000213,7.8
E01000214,11
E01000215,11.4
E01000216,11.1
E01000217,8.8
E01000218,11.4
E01000219,10.2
E01000220,14.2
